Fact,Clean Fact,# of Total Passages,# of Passage with S,# of Passage with NS,Golden Label,Prediction Label,Correct?
Rennie Fritchie is British.,Rennie Fritchie is British.,2,0,2,S,NS,N
Rennie Fritchie is a Baroness.,Rennie Fritchie is a Baroness.,2,0,2,S,NS,N
Rennie Fritchie is Baroness Fritchie.,Rennie Fritchie is Baroness Fritchie.,2,0,2,S,NS,N
Rennie Fritchie is a crossbench member of the House of Lords.,Rennie Fritchie is a crossbench member of the House of Lords.,2,0,2,S,NS,N
He had a brief stint with Universitario de Deportes.,He had a brief stint with Universitario de Deportes.,2,0,2,NS,NS,Y
His stint with Universitario de Deportes was in 2003.,His stint with Universitario de Deportes was in 2003.,2,0,2,NS,NS,Y
He then moved to Mexico.,He then moved to Mexico.,2,0,2,NS,NS,Y
He went to Mexico to play for Club Necaxa.,He went to Mexico to play for Club Necaxa.,2,0,2,NS,NS,Y
Salazar played for the Peru national team from 1995.,Salazar played for the Peru national team from 1995.,2,0,2,NS,NS,Y
Salazar left the Peru national team in 2003.,Salazar left the Peru national team in 2003.,2,0,2,NS,NS,Y
Salazar earned 28 caps for the Peru national team.,Salazar earned 28 caps for the Peru national team.,2,0,2,NS,NS,Y
Salazar scored six goals for the Peru national team.,Salazar scored six goals for the Peru national team.,2,0,2,NS,NS,Y
He grew up in a Christian household.,He grew up in a Christian household.,3,0,3,NS,S,N
He became a Christian at a young age.,He became a Christian at a young age.,3,0,3,NS,S,N
He was a pastor in South Africa.,He was a pastor in South Africa.,3,0,3,S,S,Y
He served for many years as a pastor.,He served for many years as a pastor.,3,0,3,S,S,Y
He served as the Executive Director of the International Christian Embassy Jerusalem.,He served as the Executive Director of the International Christian Embassy Jerusalem.,3,0,3,S,S,Y
Hibo Wardere is a campaigner.,Hibo Wardere is a campaigner.,3,0,3,S,NS,N
Hibo Wardere is an author.,Hibo Wardere is an author.,3,0,3,S,NS,N
Hibo Wardere is Somali-born.,Hibo Wardere is Somali-born.,3,0,3,S,NS,N
Hibo Wardere is based in the United Kingdom.,Hibo Wardere is based in the United Kingdom.,3,0,3,S,NS,N
She has worked with a number of organizations.,She has worked with a number of organizations.,3,0,3,NS,S,N
She has worked with the World Health Organization.,She has worked with the World Health Organization.,3,0,3,NS,S,N
She has worked to educate communities about the dangers of FGM.,She has worked to educate communities about the dangers of FGM.,3,0,3,S,S,Y
She has worked to promote the elimination of FGM.,She has worked to promote the elimination of FGM.,3,0,3,S,S,Y
Nisar Ahmad Kakru was Kashmiri.,Nisar Ahmad Kakru was Kashmiri.,3,0,3,NS,NS,Y
Nisar Ahmad Kakru was a prominent poet.,Nisar Ahmad Kakru was a prominent poet.,3,0,3,NS,NS,Y
Nisar Ahmad Kakru was a prominent writer.,Nisar Ahmad Kakru was a prominent writer.,3,0,3,NS,NS,Y
Nisar Ahmad Kakru was a prominent scholar.,Nisar Ahmad Kakru was a prominent scholar.,3,0,3,NS,NS,Y
His poems are known for their simplicity.,His poems are known for their simplicity.,3,0,3,NS,NS,Y
His poems are known for their clarity.,His poems are known for their clarity.,3,0,3,NS,NS,Y
His poems are known for their use of everyday language.,His poems are known for their use of everyday language.,3,0,3,NS,NS,Y
Don Featherstone was born in 1936.,Don Featherstone was born in 1936.,3,0,3,S,NS,N
Don Featherstone died in 2015.,Don Featherstone died in 2015.,3,0,3,S,NS,N
Don Featherstone was an American.,Don Featherstone was an American.,3,0,3,S,NS,N
Don Featherstone was an artist.,Don Featherstone was an artist.,3,0,3,S,NS,N
Don Featherstone was a designer.,Don Featherstone was a designer.,3,0,3,S,NS,N
Don Featherstone created the plastic pink flamingo lawn ornament.,Don Featherstone created the plastic pink flamingo lawn ornament.,3,0,3,S,NS,N
He has worked as a researcher at various organizations.,He has worked as a researcher at various organizations.,2,0,2,NS,NS,Y
He has worked as a scientist at various organizations.,He has worked as a scientist at various organizations.,2,0,2,NS,NS,Y
Mayo Clinic is an organization.,Mayo Clinic is an organization.,2,0,2,NS,NS,Y
He has worked at Mayo Clinic.,He has worked at Mayo Clinic.,2,0,2,NS,NS,Y
Google is an organization.,Google is an organization.,2,0,2,NS,NS,Y
He has worked at Google.,He has worked at Google.,2,0,2,NS,NS,Y
Continuum Analytics is an organization.,Continuum Analytics is an organization.,2,0,2,S,NS,N
He has worked at Continuum Analytics.,He has worked at Continuum Analytics.,2,0,2,S,NS,N
Furlong joined the Canadian Armed Forces.,Furlong joined the Canadian Armed Forces.,4,0,4,S,NS,N
Furlong joined in 1995.,Furlong joined in 1995.,4,0,4,NS,NS,Y
He served in the Princess Patricia's Canadian Light Infantry.,He served in the Princess Patricia's Canadian Light Infantry.,4,0,4,S,NS,N
He served as a sniper.,He served as a sniper.,4,0,4,NS,NS,Y
Furlong left the military.,Furlong left the military.,4,0,4,S,NS,N
Furlong worked as a hunting guide.,Furlong worked as a hunting guide.,4,0,4,NS,NS,Y
Furlong has been involved in various veteran organizations.,Furlong has been involved in various veteran organizations.,4,0,4,NS,NS,Y
Jessica Barboza is Venezuelan.,Jessica Barboza is Venezuelan.,2,0,2,S,NS,N
Jessica Barboza is a fashion model.,Jessica Barboza is a fashion model.,2,0,2,S,NS,N
Jessica Barboza is a beauty queen.,Jessica Barboza is a beauty queen.,2,0,2,S,NS,N
Jessica Barboza is a social media personality.,Jessica Barboza is a social media personality.,2,0,2,NS,NS,Y
"She was born on July 18, 1987.","She was born on July 18, 1987.",2,0,2,S,NS,N
She was born in Maracaibo.,She was born in Maracaibo.,2,0,2,S,NS,N
Maracaibo is in Venezuela.,Maracaibo is in Venezuela.,2,0,2,S,NS,N
"With CSKA, he won domestic titles.","With CSKA, he won domestic titles.",3,0,3,S,NS,N
"With CSKA, he won international titles.","With CSKA, he won international titles.",3,0,3,S,NS,N
"With CSKA, he won three Russian Premier League titles.","With CSKA, he won three Russian Premier League titles.",3,0,3,NS,NS,Y
"With CSKA, he won the UEFA Cup.","With CSKA, he won the UEFA Cup.",3,0,3,S,NS,N
He won the UEFA Cup in 2005.,He won the UEFA Cup in 2005.,3,0,3,S,S,Y
Florencia Bertotti is an Argentinian.,Florencia Bertotti is an Argentinian.,5,0,5,S,NS,N
Florencia Bertotti is an actress.,Florencia Bertotti is an actress.,5,0,5,S,NS,N
Florencia Bertotti is a singer.,Florencia Bertotti is a singer.,5,0,5,S,NS,N
Florencia Bertotti is a television host.,Florencia Bertotti is a television host.,5,0,5,NS,NS,Y
Bertotti is a talented performer.,Bertotti is a talented performer.,5,0,5,NS,NS,Y
Bertotti is an accomplished performer.,Bertotti is an accomplished performer.,5,0,5,NS,NS,Y
Bertotti has made an impact on the entertainment industry in Argentina.,Bertotti has made an impact on the entertainment industry in Argentina.,5,0,5,NS,NS,Y
Bertotti has made an impact on the entertainment industry beyond Argentina.,Bertotti has made an impact on the entertainment industry beyond Argentina.,5,0,5,NS,NS,Y
Jonathan Haagensen is a Brazilian.,Jonathan Haagensen is a Brazilian.,3,0,3,S,NS,N
Jonathan Haagensenis an actor.,Jonathan Haagensenis an actor.,3,0,3,S,NS,N
"Jonathan Haagensen was born on February 3, 1982.","Jonathan Haagensen was born on February 3, 1982.",3,0,3,NS,NS,Y
Jonathan Haagensen was born in Rio de Janeiro.,Jonathan Haagensen was born in Rio de Janeiro.,3,0,3,S,NS,N
Rio de Janeiro is in Brazil.,Rio de Janeiro is in Brazil.,3,0,3,S,NS,N
Haagensen began his acting career in theater.,Haagensen began his acting career in theater.,3,0,3,S,NS,N
Haagensen began his acting career when he was 15 years old.,Haagensen began his acting career when he was 15 years old.,3,0,3,NS,NS,Y
Haagensen later transitioned to television.,Haagensen later transitioned to television.,3,0,3,S,NS,N
Haagensen later transitioned to film.,Haagensen later transitioned to film.,3,0,3,S,NS,N
Kerser is an Australian.,Kerser is an Australian.,4,0,4,S,NS,N
Kerser is a rapper.,Kerser is a rapper.,4,0,4,S,NS,N
Kerser is a songwriter.,Kerser is a songwriter.,4,0,4,NS,NS,Y
Kerser is from Sydney.,Kerser is from Sydney.,4,0,4,NS,NS,Y
Kerser's real name is Scott Barrow.,Kerser's real name is Scott Barrow.,4,0,4,NS,NS,Y
Botak Chin is also known as Chin Peng.,Botak Chin is also known as Chin Peng.,3,0,3,NS,NS,Y
Botak Chin was a Malayan.,Botak Chin was a Malayan.,3,0,3,S,NS,N
Botak Chin was a communist.,Botak Chin was a communist.,3,0,3,NS,NS,Y
Botak Chin was a revolutionary.,Botak Chin was a revolutionary.,3,0,3,NS,NS,Y
Botak Chin led the Communist Party of Malaya (CPM).,Botak Chin led the Communist Party of Malaya (CPM).,3,0,3,NS,NS,Y
Botak Chin led the CPM in a guerrilla war.,Botak Chin led the CPM in a guerrilla war.,3,0,3,NS,NS,Y
Botak Chin led the CPM against the British colonial government.,Botak Chin led the CPM against the British colonial government.,3,0,3,NS,NS,Y
Botak Chin led the CPM in the 1940s and 1950s.,Botak Chin led the CPM in the 1940s and 1950s.,3,0,3,NS,NS,Y
He started surfing at a young age.,He started surfing at a young age.,3,0,3,NS,NS,Y
He quickly developed a passion for the sport.,He quickly developed a passion for the sport.,3,0,3,NS,NS,Y
Owen is known for his powerful surfing style.,Owen is known for his powerful surfing style.,3,0,3,NS,NS,Y
Owen is known for his dynamic surfing style.,Owen is known for his dynamic surfing style.,3,0,3,NS,NS,Y
Owen is known for his ability to perform aerial maneuvers with ease.,Owen is known for his ability to perform aerial maneuvers with ease.,3,0,3,NS,NS,Y
Shahnaz married Ardeshir Zahedi.,Shahnaz married Ardeshir Zahedi.,3,0,3,S,NS,N
Shahnaz married in 1959.,Shahnaz married in 1959.,3,0,3,NS,NS,Y
Ardeshir Zahedi served as Iran's foreign minister.,Ardeshir Zahedi served as Iran's foreign minister.,3,0,3,S,NS,N
Ardeshir Zahedi served as Iran's ambassador to the United States.,Ardeshir Zahedi served as Iran's ambassador to the United States.,3,0,3,S,NS,N
They had three children together.,They had three children together.,3,0,3,NS,NS,Y
They divorced in 1964.,They divorced in 1964.,3,0,3,S,NS,N
"She passed away on June 27, 2020.","She passed away on June 27, 2020.",3,0,3,NS,NS,Y
She passed away at the age of 79.,She passed away at the age of 79.,3,0,3,NS,NS,Y
Jidenna's music is a fusion of hip-hop.,Jidenna's music is a fusion of hip-hop.,5,0,5,NS,NS,Y
Jidenna's music is a fusion of R&B.,Jidenna's music is a fusion of R&B.,5,0,5,NS,NS,Y
Jidenna's music is a fusion of Afrobeat.,Jidenna's music is a fusion of Afrobeat.,5,0,5,NS,NS,Y
He often incorporates African elements into his style.,He often incorporates African elements into his style.,5,0,5,S,NS,N
He often incorporates African elements into his fashion.,He often incorporates African elements into his fashion.,5,0,5,S,NS,N
"She was born on April 2, 1973.","She was born on April 2, 1973.",5,0,5,S,NS,N
She was born in San Juan.,She was born in San Juan.,5,0,5,S,NS,N
San Juan is in Puerto Rico.,San Juan is in Puerto Rico.,5,0,5,S,NS,N
She has supported St. Jude Children's Research Hospital.,She has supported St. Jude Children's Research Hospital.,5,0,5,NS,NS,Y
She has supported The National Alliance on Mental Illness.,She has supported The National Alliance on Mental Illness.,5,0,5,NS,NS,Y
She has supported The National Foundation for Autism Research.,She has supported The National Foundation for Autism Research.,5,0,5,NS,NS,Y
Ji Sung is South Korean.,Ji Sung is South Korean.,5,0,5,S,NS,N
Ji Sung is an actor.,Ji Sung is an actor.,5,0,5,S,NS,N
Ji Sung's real name is Kwak Tae Geun.,Ji Sung's real name is Kwak Tae Geun.,5,0,5,S,NS,N
"Ji Sung was born on February 27, 1977.","Ji Sung was born on February 27, 1977.",5,0,5,S,NS,N
He has since then starred in numerous dramas.,He has since then starred in numerous dramas.,5,0,5,S,NS,N
The dramas he has starred in have been popular.,The dramas he has starred in have been popular.,5,0,5,S,NS,N
He has since then starred in numerous films.,He has since then starred in numerous films.,5,0,5,S,NS,N
The films he has starred in have been popular.,The films he has starred in have been popular.,5,0,5,S,NS,N
"He has since then starred in ""Save the Last Dance for Me."".","He has since then starred in ""Save the Last Dance for Me."".",5,0,5,S,NS,N
"""Save the Last Dance for Me."" is popular.","""Save the Last Dance for Me."" is popular.",5,0,5,S,NS,N
"He has since then starred in ""New Heart."".","He has since then starred in ""New Heart."".",5,0,5,S,NS,N
"""New Heart."" is popular.","""New Heart."" is popular.",5,0,5,S,NS,N
"He has since then starred in ""Protect the Boss."".","He has since then starred in ""Protect the Boss."".",5,0,5,S,NS,N
"-""Protect the Boss."" is popular.","-""Protect the Boss."" is popular.",5,0,5,S,NS,N
"He has since then starred in ""Kill Me, Heal Me."".","He has since then starred in ""Kill Me, Heal Me."".",5,0,5,S,NS,N
"""Kill Me, Heal Me."" is popular.","""Kill Me, Heal Me."" is popular.",5,0,5,S,NS,N
"He has since then starred in ""Familiar Wife."".","He has since then starred in ""Familiar Wife."".",5,0,5,S,NS,N
"""Familiar Wife."" is popular.","""Familiar Wife."" is popular.",5,0,5,S,NS,N
